id,idmal,title_romaji,title_english,title_native,season,seasonyear,startdate,enddate,episodes,duration,format,status,source,averagescore,meanscore,popularity,favourites,trending,genres,tags,mainstudio,rankings_json,externallinks_json,is_sequel,genre_count,total_duration,start_year,is_big_studio
21234,31043.0,Boku dake ga Inai Machi,ERASED,僕だけがいない街,WINTER,2016,2016-01-08,2016-03-25,12.0,23.0,TV,FINISHED,MANGA,81.0,81.0,540259,19812,5,['Drama|Mystery|Psychological|Supernatural|Thriller'],Age Regression|Time Manipulation|Crime|Tragedy|Time Skip|Primarily Child Cast|Male Protagonist|Detective|Snowscape|Urban Fantasy|Super Power|Ensemble Cast|Seinen|School|Fugitive|Revenge|Teacher|Rural|Amnesia|Rehabilitation|Heterosexual|Bullying|Kuudere|CGI,A-1 Pictures,"[{""rank"": 240, ""type"": ""RATED"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""highest rated all time""}, {""rank"": 21, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 10, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 3, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 3, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 1, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://bokumachi-anime.com/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/bokumachi_anime""}, {""site"": ""Crunchyroll"", ""url"": ""http://www.crunchyroll.com/erased""}, {""site"": ""Hulu"", ""url"": ""https://www.hulu.com/series/erased-40cf1997-7291-4764-a80c-c264294fa691""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80114225""}]",False,1,276.0,2016.0,True
21202,30831.0,Kono Subarashii Sekai ni Shukufuku wo!,KONOSUBA -God's blessing on this wonderful world!,この素晴らしい世界に祝福を！,WINTER,2016,2016-01-14,2016-03-17,10.0,23.0,TV,FINISHED,LIGHT_NOVEL,79.0,79.0,457132,18977,5,['Adventure|Comedy|Ecchi|Fantasy'],Isekai|Satire|Parody|Primarily Female Cast|Ensemble Cast|Male Protagonist|Slapstick|Magic|Masochism|Anti-Hero|Afterlife|Gods|Reincarnation|Chuunibyou|Meta|Medieval|Alternate Universe|Dullahan|Primarily Adult Cast|Surreal Comedy|Swordplay|Dungeon|Succubus|Nudity|Shounen|Heterosexual,Studio DEEN,"[{""rank"": 365, ""type"": ""RATED"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""highest rated all time""}, {""rank"": 42, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 15, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 5, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 5, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 2, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://konosuba.com/1st""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/konosubaanime""}, {""site"": ""Crunchyroll"", ""url"": ""http://www.crunchyroll.com/konosuba-gods-blessing-on-this-wonderful-world""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/konosuba_anime""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80131674""}, {""site"": ""YouTube"", ""url"": ""https://www.youtube.com/playlist?list=PLxSscENEp7JiyHGbqVQuTTs9ZFqu3wYNM""}]",True,1,230.0,2016.0,False
21170,30654.0,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,暗殺教室 第２期,WINTER,2016,2016-01-08,2016-07-01,25.0,23.0,TV,FINISHED,MANGA,83.0,83.0,331050,9616,5,['Action|Comedy|Drama|Supernatural'],Assassins|School|Teacher|Coming of Age|Primarily Teen Cast|Ensemble Cast|Super Power|Tragedy|Shounen|Anti-Hero|Time Skip|Male Protagonist|Rural|Military|Urban Fantasy|Episodic|Crossdressing|Heterosexual|Yandere|Suicide|Aliens,Lerche,"[{""rank"": 122, ""type"": ""RATED"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""highest rated all time""}, {""rank"": 90, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 7, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 7, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 2, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 3, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://www.ansatsu-anime.com""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/ansatsu_anime""}, {""site"": ""Hulu"", ""url"": ""http://www.hulu.com/assassination-classroom""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80045948""}, {""site"": ""Crunchyroll"", ""url"": ""https://www.crunchyroll.com/assassination-classroom""}, {""site"": ""YouTube"", ""url"": ""https://www.youtube.com/playlist?list=PLwLSw1_eDZl1QGs4v-QtvNHpC_N8ZjkEs""}]",True,1,575.0,2016.0,False
21428,31859.0,Hai to Gensou no Grimgar,Grimgar of Fantasy and Ash,灰と幻想のグリムガル,WINTER,2016,2016-01-11,2016-03-28,12.0,24.0,TV,FINISHED,LIGHT_NOVEL,74.0,74.0,161329,3493,2,['Action|Adventure|Drama|Fantasy'],Isekai|Survival|Tragedy|Goblin|Ensemble Cast|Magic|Alternate Universe|Male Protagonist|Philosophy|Amnesia|Dungeon|Kuudere|Medieval,A-1 Pictures,"[{""rank"": 288, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 36, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 19, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 8, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 4, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://grimgar.com/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/grimgar_anime""}, {""site"": ""Hulu"", ""url"": ""https://www.hulu.com/series/grimgar-ashes-and-illusions-0bef7ca6-798d-40a0-a8be-1a117d3253bb""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80142717""}, {""site"": ""Crunchyroll"", ""url"": ""https://www.crunchyroll.com/grimgar-ashes-and-illusions""}]",False,1,288.0,2016.0,True
9260,9260.0,Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Tekketsu,傷物語〈Ⅰ鉄血篇〉,WINTER,2016,2016-01-08,2016-01-08,1.0,64.0,MOVIE,FINISHED,LIGHT_NOVEL,83.0,83.0,151546,3793,1,['Action|Drama|Ecchi|Mystery|Psychological|Supernatural'],Vampire|Urban Fantasy|Rotoscoping|Urban|Suicide|Body Horror|Male Protagonist|Gore|Coming of Age|Age Regression|CGI|Yandere|Nudity,Shaft,"[{""rank"": 47, ""type"": ""RATED"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""highest rated all time""}, {""rank"": 33, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 4, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 3, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://www.kizumonogatari-movie.com/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/nisioisin_anime""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80097748""}]",False,1,64.0,2016.0,False
21306,31442.0,Musaigen no Phantom World,Myriad Colors Phantom World,無彩限のファントム・ワールド,WINTER,2016,2016-01-07,2016-03-31,13.0,24.0,TV,FINISHED,LIGHT_NOVEL,65.0,65.0,125244,1126,0,['Action|Ecchi|Slice of Life|Supernatural'],Super Power|Exorcism|Episodic|Urban Fantasy|School|Primarily Female Cast|Primarily Teen Cast|School Club|Male Protagonist|Youkai|Ensemble Cast|Mythology|Tsundere|Teacher|Female Harem|Kuudere|Educational|Martial Arts,Kyoto Animation,"[{""rank"": 397, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 93, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 21, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 13, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 5, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://phantom-world.com/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/anime_PW""}, {""site"": ""Crunchyroll"", ""url"": ""http://www.crunchyroll.com/myriad-colors-phantom-world""}]",False,1,312.0,2016.0,True
21341,31580.0,Ajin,AJIN: Demi-Human,亜人,WINTER,2016,2016-01-16,2016-04-09,13.0,24.0,TV,FINISHED,MANGA,71.0,71.0,112831,1323,0,['Action|Horror|Mystery|Supernatural'],Anti-Hero|Super Power|Crime|Terrorism|Police|Fugitive|Urban Fantasy|Full CGI|Seinen|Male Protagonist|Primarily Male Cast|Primarily Adult Cast|Gore|Body Horror|Dystopian|Torture|Cosmic Horror|Video Games,POLYGON PICTURES,"[{""rank"": 465, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 51, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 26, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 10, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 6, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://www.ajin.net/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/anime_ajin""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/gb/title/80043576""}]",False,1,312.0,2016.0,False
21364,31637.0,"GATE: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",Gate 2,GATE 自衛隊 彼の地にて、斯く戦えり 第2クール,WINTER,2016,2016-01-09,2016-03-26,12.0,24.0,TV,FINISHED,LIGHT_NOVEL,75.0,75.0,111592,1752,2,['Action|Adventure|Fantasy'],Military|Alternate Universe|Isekai|Politics|Male Protagonist|War|Primarily Adult Cast|Primarily Female Cast|Dragons|Elf|Kemonomimi|Tanks|Female Harem|Villainess|Slavery|Rape|Aviation|Fairy|Conspiracy|Medieval|Kuudere,A-1 Pictures,"[{""rank"": 475, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 30, ""type"": ""RATED"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 27, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 7, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 7, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Twitter"", ""url"": ""https://twitter.com/gate_anime""}, {""site"": ""Official Site"", ""url"": ""http://gate-anime.com/""}, {""site"": ""Crunchyroll"", ""url"": ""http://www.crunchyroll.com/gate""}, {""site"": ""HIDIVE"", ""url"": ""https://www.hidive.com/tv/gate""}, {""site"": ""Netflix"", ""url"": ""https://www.netflix.com/title/80182163""}, {""site"": ""Hulu"", ""url"": ""https://www.hulu.com/series/ce311a68-cf4d-417c-902d-a188af25a6b0""}]",False,1,288.0,2016.0,True
21365,31636.0,Dagashi Kashi,,だがしかし,WINTER,2016,2016-01-08,2016-04-01,12.0,25.0,TV,FINISHED,MANGA,64.0,64.0,107929,839,0,['Comedy|Slice of Life'],Food|Episodic|Work|Rural|Educational|Shounen|Male Protagonist|Love Triangle|Heterosexual|Economics|Primarily Female Cast,feel.,"[{""rank"": 491, ""type"": ""POPULAR"", ""year"": null, ""season"": null, ""allTime"": true, ""context"": ""most popular all time""}, {""rank"": 29, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 16, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 8, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://www.tbs.co.jp/anime/dagashi/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/anime_dagashi""}, {""site"": ""Crunchyroll"", ""url"": ""http://www.crunchyroll.com/dagashi-kashi""}, {""site"": ""Hulu"", ""url"": ""https://www.hulu.com/series/af63942b-6083-4aec-8b30-d0345a66d185""}, {""site"": ""Tubi TV"", ""url"": ""https://tubitv.com/series/2243/dagashi-kashi?start=true""}]",False,1,300.0,2016.0,False
21188,30749.0,Saijaku Muhai no Bahamut,Undefeated Bahamut Chronicle,最弱無敗の神装機竜《バハムート》,WINTER,2016,2016-01-11,2016-03-28,12.0,24.0,TV,FINISHED,LIGHT_NOVEL,62.0,62.0,87411,991,1,['Action|Ecchi|Fantasy|Mecha|Romance|Supernatural'],Super Robot|Female Harem|Primarily Female Cast|Male Protagonist|School|Tsundere|Swordplay|Crossdressing|Dungeon|Kuudere|CGI|Tragedy,Lerche,"[{""rank"": 34, ""type"": ""POPULAR"", ""year"": 2016, ""season"": null, ""allTime"": false, ""context"": ""most popular""}, {""rank"": 20, ""type"": ""RATED"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""highest rated""}, {""rank"": 9, ""type"": ""POPULAR"", ""year"": 2016, ""season"": ""WINTER"", ""allTime"": false, ""context"": ""most popular""}]","[{""site"": ""Official Site"", ""url"": ""http://saijaku.jp/""}, {""site"": ""Twitter"", ""url"": ""https://twitter.com/saijaku_anime""}, {""site"": ""Hulu"", ""url"": ""http://www.hulu.com/undefeated-bahamut-chronicle""}, {""site"": ""Crunchyroll"", ""url"": ""https://www.crunchyroll.com/undefeated-bahamut-chronicle""}, {""site"": ""Netflix"", ""url"": ""https://netflix.com/title/81022603""}]",False,1,288.0,2016.0,False
