id,title,title_japanese,format,episodes,durationmin,start_date,studio,genres,average_score,popularity,description,anilist_url,studio_list,start_date_filled
199005,#Kanagawa ni Sunderu Elf,#神奈川に住んでるエルフ ,TV_SHORT,,,2025-12-04,"Imagica Infos, Imageworks Studio","['Comedy', 'Fantasy', 'Slice of Life']",,272,"2 years ago, the elves who lived in the hidden forest lost their homes due to a forest fire, now they are living in the Kanagawa Prefecture.    This story however focuses on a human who becomes the roommate of an elf living in an apartment.    (Source: MU)",https://anilist.co/anime/199005,"['Imagica Infos', 'Imageworks Studio']",2025-12-04
189258,Ao no Miburo: Serizawa Ansatsu-hen,青のミブロ 芹沢暗殺編,TV,,,2025-12-20,,['Drama'],,1358,The second season of Ao no Miburo.,https://anilist.co/anime/189258,[],2025-12-20
188034,Girls und Panzer: Motto Love Love Sakusen desu!,ガールズ＆パンツァー もっとらぶらぶ作戦です！,MOVIE,4.0,,2025-12-26,"P.A.WORKS, Actas",['Comedy'],,1910,Four part adaptation of the Girls und Panzer: Motto Love Love Sakusen desu! manga.    (Source: Natalie Comics),https://anilist.co/anime/188034,"['P.A.WORKS', 'Actas']",2025-12-26
187901,Dead Account,デッドアカウント,TV,,,2026-01-15,SynergySP,"['Action', 'Supernatural']",,3472,"Always ready for a fight! Destruction for destruction's sake! The online streamer Aoringo is a troll, making the worst of the worst of boundary-pushing flamebait content and raking in the revenue from the hate-watchers. You may think he's nothing more than a bottom feeder and a drain on society, but in reality, he's high school dropout Souji Enishiro, a caring older brother with a sweet tooth who loves nothing more than his little sister. His viral videos? Just a way to pay his sister's medical",https://anilist.co/anime/187901,['SynergySP'],2026-01-15
203148,Hoppe-chan: Sun Oukoku to Kuro Hoppe-dan no Himitsu,ほっぺちゃん ～サン王国と黒ほっぺ団の秘密～,TV,,,2026-01-15,Toon Harbor Works,[],,31,"The anime's story is set in a world made of ""cuteness"" called Sun Kingdom. Ganso Hoppe-chan, who lost her memory, appears in the kingdom. Meanwhile, in the real world, an office worker named Hoho is slowly losing her self-esteem in her work and life, sending her on the verge of becoming lost in life. Somewhere between Ganso Hoppe-chan and Hoho's worlds, their paths cross. Back in Sun Kingdom, toxic Hoppe-chan creatures are creating an ""uncute place,"" and Ganso Hoppe-chan joins the ""Guardians"" to",https://anilist.co/anime/203148,['Toon Harbor Works'],2026-01-15
198374,Jingai Kyoushitsu no Ningengirai Kyoushi,人外教室の人間嫌い教師,TV,,,2026-01-15,Asread,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life']",,1463,"Rei Hitoma is a former schoolteacher and a self-professed misanthrope due to past trauma. Hoping to live a slow, relaxing life, he takes a new teaching job in the mountains. But it turns out that this place is actually an all-girls school for demi-humans who want to become full-fledged human beings!    (Source: Yen Press)",https://anilist.co/anime/198374,['Asread'],2026-01-15
185039,Toumei Otoko to Ningen Onna: Sonouchi Fuufu ni Naru Futari,透明男と人間女～そのうち夫婦になるふたり～,TV,,,2026-01-15,project No.9,"['Comedy', 'Romance', 'Supernatural']",,4753,"Akira Tounome is an invisible gentleman who runs a detective agency, and Shizuka Yakou is a mild-mannered human female who works there. Shizuka can always find Akira even when he turns completely invisible. A quiet love begins to blossom between them as the invisible man and blind girl grow closer to each other…    (Source: Crunchyroll)",https://anilist.co/anime/185039,['project No.9'],2026-01-15
185262,Hell Mode: Yarikomi Suki no Gamer wa Haisettei no Isekai de Musou Suru,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,TV,,,2026-01-15,Yokohama Animation Lab,"['Action', 'Adventure', 'Fantasy']",,3320,"“‘Level up even while offline’?! That’s not a game on ‘easy mode’—that’s just an AFK game!”    The online game Yamada Kenichi had been playing religiously is shutting down its servers, leaving him with a void in his heart. He looks for a new game to fill it, but everything he finds is way too easy. The kind of game he likes—the kind punishing enough to make players want to spend thousands of hours on it—just isn’t around anymore. “What’s this? ‘You are invited to a game that will ne",https://anilist.co/anime/185262,['Yokohama Animation Lab'],2026-01-15
185514,Champignon no Majo,シャンピニオンの魔女,TV,,,2026-01-15,"Qzil.la, TYPHOON GRAPHICS","['Drama', 'Fantasy', 'Supernatural']",,3260,"Luna, a black witch who lives quietly in a poisonous mushroom house, deep in the Black Forest. She lives in the city making high-efficiency medicines, but she is rumored to be rumored to die if she is touched, and she is avoided ... The life of a witch who doesn't know the warmth of people is carefully and momentarily drawn.",https://anilist.co/anime/185514,"['Qzil.la', 'TYPHOON GRAPHICS']",2026-01-15
185993,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,貴族転生 ～恵まれた生まれから最強の力を得る～,TV,,,2026-01-15,CompTown,"['Action', 'Adventure', 'Fantasy']",,3469,"Born as the thirteenth prince, Noah was originally in a position removed from the imperial succession, so he freely passed his time in the fief granted to him.    However, the Crown Prince died before the Emperor. The imperial succession would be fairly contested among the remaining princes. Noah, being the strongest despite living freely, overwhelmed the other princes and eventually became the Emperor with the most power in the world.    (Source: Shousetsuka ni Narou, translated)",https://anilist.co/anime/185993,['CompTown'],2026-01-15
186333,Majutsushi Kunon wa Mieteiru,魔術師クノンは見えている,TV,,,2026-01-15,Platinum Vision,"['Action', 'Adventure', 'Fantasy']",,2613,"Kunon, a young man who cannot see, has the goal of creating new eyes with water magic. After just five months of learning sorcery, Kunon surpassed his own mentor and honed his talent as he tried to do a feat that's never been done before. A fantasy about a young man, a blind genius, who opens up the world through curiosity in the pursuit for magic is about to begin.   (Source: Crunchyroll)",https://anilist.co/anime/186333,['Platinum Vision'],2026-01-15
187062,Hikuidori,火喰鳥,TV,,,2026-01-15,SynergySP,['Action'],,1611,,https://anilist.co/anime/187062,['SynergySP'],2026-01-15
187264,Yuusha Party wo Oidasareta Kiyou Binbou,勇者パーティを追い出された器用貧乏,TV,,,2026-01-15,animation studio42,"['Action', 'Adventure', 'Fantasy']",,3659,"""Orn Doula, today will be your last day in the party.""    Since the party was lacking someone who could play the essential role of Enchanter, it was the quickly adaptable Orn who had converted from Swordsman to Enchanter. On a certain day, Orn, who belongs to the Hero Party, is suddenly informed by the party leader—""your skills are lacking, so leave the party."" The other party members also insulted him as a ""weakling"" and a ""jack of all trades but a master of none.""    After being ex",https://anilist.co/anime/187264,['animation studio42'],2026-01-15
191967,Jigoku Sensei Nube (2025) Part 2,地獄先生ぬ～べ～ (2025) 第2クール,TV,,,2026-01-15,Studio KAI,"['Action', 'Comedy', 'Horror', 'Supernatural']",,943,The second cour of Jigoku Sensei Nube (2025).,https://anilist.co/anime/191967,['Studio KAI'],2026-01-15
163144,TRIGUN STARGAZE,TRIGUN STARGAZE,TV,,,2026-01-15,Orange,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",,14137,Sequel season to TRIGUN STAMPEDE.,https://anilist.co/anime/163144,['Orange'],2026-01-15
187941,Tensei Shitara Dragon no Tamago Datta,転生したらドラゴンの卵だった,TV,,,2026-01-15,"GA-CREW, Felix Film","['Action', 'Adventure', 'Fantasy']",,1793,"In a world full of dangerous monsters, our unnamed protagonist finds himself reborn at the very bottom of the food chain as an immobile, powerless egg. Even just hatching will require leveling up by fighting monsters–the same monsters who’d love to eat him as a snack. But with the help of the mysterious voice in his head, he’s determined to grow into the most powerful creature in the world!    (Source: Seven Seas Entertainment)",https://anilist.co/anime/187941,"['GA-CREW', 'Felix Film']",2026-01-15
187989,Yuusha no Kuzu,勇者のクズ,TV,,,2026-01-15,OLM,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",,1431,"In an alternate 21st century, rich mafia members can turn into ""Demon Kings"" through increasingly popular ether-enhancement surgery, and the bounty hunters called ""Braves"" are the ones called upon to take them down. Yashiro only wants the simple pleasures in life - pizza, beer, and card games. When three young Braves offer him a majestic sum to be their private tutor, he agrees solely for the money - but is it worth what he's getting himself into?  (Source: Manga Planet)",https://anilist.co/anime/187989,['OLM'],2026-01-15
199446,"Saioshi no Gikei Mederu Tame, Nagaikishimasu!",最推しの義兄を愛でるため、長生きします！,,,,2026-01-15,,"['Fantasy', 'Romance']",,256,"The story of Saioshi no Gikei Mederutame, Nagaikishimasu! follows the struggle of a player to protect his favorite character, who gets reincarnated as his older brother-in-law in a simulation raising game - however, the player is reincarnated as the younger brother who was meant to die. Source: ANN",https://anilist.co/anime/199446,[],2026-01-15
189275,Medalist 2nd Season,メダリスト 第2期,TV,,,2026-01-15,ENGI,"['Drama', 'Psychological', 'Sports']",,7378,The second season of Medalist.,https://anilist.co/anime/189275,['ENGI'],2026-01-15
189565,Osananajimi to wa Love Comedy ni Naranai,幼馴染とはラブコメにならない,TV,,,2026-01-15,Tezuka Productions,"['Comedy', 'Romance']",,2705,"Eeyuu, a high school boy, has a problem! Two childhood friends ""Shio"" and ""Akari"" who go to the same high school are too cute! If they find out that I'm the only one looking sexually at them now that they've grown up, even though I have no intention of doing so... that would be too much! On the other hand, the two childhood friends also have their own secrets...? It's so awkward! It's complicated! But childhood friends are the best! A sweet and impatient love triangle love comedy where you can't",https://anilist.co/anime/189565,['Tezuka Productions'],2026-01-15
